Player,2 (Best),3 (Best),4 (Best),5 (Best),6 (Best),7 (Best),8 (Best),9 (Best),10 (Best),11 (Best)
A2,H,H,H,H,H,H,H,H,H,H
A3,H,H,H,H,H,H,H,H,H,H
A4,H,H,H,H,D,H,H,H,H,H
A5,H,H,D,H,D,H,H,H,H,H
A6,H,H,D,D,D,H,H,H,H,H
A7,S,S,S,S,S,S,S,H,S,H
A8,S,S,S,S,S,S,S,S,S,S
A9,S,S,S,S,S,S,S,S,S,S
