Player,2 (Best),3 (Best),4 (Best),5 (Best),6 (Best),7 (Best),8 (Best),9 (Best),10 (Best),11 (Best)
"2,2",P,P,P,P,P,P,P,P,P,P
"3,3",P,P,P,P,P,P,P,P,P,P
"4,4",P,P,P,P,P,H,P,P,P,P
"5,5",D,D,D,D,D,D,D,D,D,D
"6,6",P,P,P,P,P,P,P,P,P,P
"7,7",P,P,P,P,P,P,P,P,P,P
"8,8",P,P,P,P,P,P,P,P,P,P
"9,9",P,P,P,P,P,S,P,P,P,P
"10,10",S,S,S,S,S,S,S,S,S,S
"A,A",H,H,H,H,H,H,H,H,H,H
