bankroll,bet,stop_loss,mode,success_rate,fail_rate,neutral_rate,score
134,1,0.8,qtable-percent,0.65344,0.11072,0.23584,0.54272
134,1,0.7,qtable-percent,0.65344,0.01664,0.32992,0.6368
134,2,0.95,qtable-percent,0.53632,0.46368,0.0,0.07264
134,2,0.9,qtable-percent,0.6688,0.3312,0.0,0.3376
134,2,0.8,qtable-percent,0.76832,0.2176,0.01408,0.55072
134,2,0.7,qtable-percent,0.78912,0.14144,0.06944,0.64768
134,4,0.95,qtable-percent,0.47328,0.52672,0.0,-0.05344
134,4,0.9,qtable-percent,0.64384,0.35616,0.0,0.28768
134,4,0.8,qtable-percent,0.75904,0.24096,0.0,0.51808
134,4,0.7,qtable-percent,0.81824,0.18048,0.00128,0.63776
134,5,0.95,qtable-percent,0.59456,0.40544,0.0,0.18912
134,5,0.9,qtable-percent,0.688,0.312,0.0,0.376
134,5,0.8,qtable-percent,0.80512,0.19488,0.0,0.61024
134,5,0.7,qtable-percent,0.85408,0.14592,0.0,0.70816
134,6,0.95,qtable-percent,0.59456,0.40544,0.0,0.18912
134,6,0.9,qtable-percent,0.68256,0.31744,0.0,0.36512
134,6,0.8,qtable-percent,0.78112,0.21888,0.0,0.56224
134,6,0.7,qtable-percent,0.82944,0.17056,0.0,0.65888
134,8,0.95,qtable-percent,0.44128,0.55872,0.0,-0.11744
134,8,0.9,qtable-percent,0.59648,0.40352,0.0,0.19296
134,8,0.8,qtable-percent,0.74016,0.25984,0.0,0.48032
134,8,0.7,qtable-percent,0.80512,0.19488,0.0,0.61024
134,9,0.95,qtable-percent,0.44128,0.55872,0.0,-0.11744
134,9,0.9,qtable-percent,0.6048,0.3952,0.0,0.2096
134,9,0.8,qtable-percent,0.7008,0.2992,0.0,0.4016
134,9,0.7,qtable-percent,0.8,0.2,0.0,0.6
134,10,0.95,qtable-percent,0.44128,0.55872,0.0,-0.11744
134,10,0.9,qtable-percent,0.6048,0.3952,0.0,0.2096
134,10,0.8,qtable-percent,0.7008,0.2992,0.0,0.4016
134,10,0.7,qtable-percent,0.8,0.2,0.0,0.6
134,12,0.95,qtable-percent,0.44128,0.55872,0.0,-0.11744
134,12,0.9,qtable-percent,0.6048,0.3952,0.0,0.2096
134,12,0.8,qtable-percent,0.69792,0.30208,0.0,0.39584
134,12,0.7,qtable-percent,0.75744,0.24256,0.0,0.51488
134,13,0.95,qtable-percent,0.44128,0.55872,0.0,-0.11744
134,13,0.9,qtable-percent,0.6048,0.3952,0.0,0.2096
134,13,0.8,qtable-percent,0.69792,0.30208,0.0,0.39584
134,13,0.7,qtable-percent,0.75744,0.24256,0.0,0.51488
